0:32.06  Take me
0:33.09  on a trip I'd like to
0:34.56  go someday
0:35.50  Take me to
0:37.29  New York, I'd love to see
0:39.01  L .A.
0:39.98  I really want to come kick it
0:43.28  with you
0:44.00  You'll be my
0:45.58  American boy
0:48.54  He said, hey sister,
0:51.73  it's really,
0:52.18  really nice to meet ya I
0:54.01  just met
0:54.48  this (five) (or) seven guy who's just
0:56.60  my type
0:57.40  Like the way he's speaking,
0:59.93  his confidence is peaking
1:01.43  Don't like his baggy jeans,
1:03.23  but I'ma like what's underneath him
1:05.64  And no, I ain't been to
1:07.45  M .I .A.
1:09.02  I heard that
1:09.52  Cali never rings,
1:10.92  (but) New York's wide awake
1:12.51  First, let's see the
1:14.08  West End,
1:14.96  I'll show you
1:15.72  to my bedroom I'm liking this
1:18.04  American boy, American boy
1:21.30  Take me on a trip,
1:22.45  I'd like to go someday
1:24.16  Take me to
1:26.16  New York, I'd love to see
1:27.82  L .A.
1:28.79  I really want to come
1:31.57  kick it with you
1:32.86  You'll be my
1:34.38  American boy, American boy
1:38.08  La la la,
1:40.14  la la la,
1:41.24  (dee) (-oh) La la la,
1:44.05  la la la,
1:45.46  (dee) (-oh) La la la,
1:48.10  la la,
1:49.36  (dee) (-oh) (You'll) be my
1:50.60  American boy,
1:52.60  American boy Who killin' them in the
1:54.97  (U) (.K.?)
1:55.83  Everybody gonna say
1:57.00  (U) (.K.)
1:58.74  Reluctantly, cause most of this press don't
2:00.55  fuck with me.
2:01.36  Estelle once said,
2:02.28  tell me, cool down,
2:03.57  down.
2:04.12  Don't act a fool now,
2:05.60  now.
2:05.86  Always act a fool,
2:07.21  ow, ow.
2:08.18  Ain't nothin' new now,
2:09.70  now.
2:10.22  He crazy, I know what you thinkin'.
2:12.28  (Rapina,) I know what you drinkin'.
2:14.29  Rap singer, chain (blinger.)
2:16.33  Holla at the next chick,
2:17.34  soon as you blinkin'.
2:18.38  What's your persona about this
2:20.72  Americana?
2:21.91  Rhyme up in my shallow
2:23.97  Cause all my clothes designer
2:26.49  (Dressed) smart like a
2:27.51  London bloke Before he speak
2:29.25  his suit bespoke
2:30.29  And you thought he was cute before
2:32.09  Look at this peacoat
2:33.34  tell me he's broke
2:34.28  And I know
2:35.27  you ain't into all that
2:36.40  I heard your lyrics,
2:37.49  I feel your spirit
2:38.43  But I still talk that cat ass
2:40.55  Cause a lot of
2:41.22  wags wanna hear it
2:42.76  And I'm feeling like
2:43.72  Mike at his baddest
2:44.91  Like the pips at (the) gladdest
2:46.86  And I know they love it
2:48.57  So (the) hell with all that rubbish
2:50.60  Would you be my love,
2:53.65  could you be mine
2:55.54  Would you be my love,
2:57.71  would you be mine
2:59.42  Could you be my love,
3:01.60  would you be my
3:03.82  American boy
3:06.53  Take me on trip,
3:08.27  I'd like to go someday
3:10.21  Take me to
3:11.87  Chicago, San Francisco,
3:13.95  baby I really want to come
3:17.33  kick (in) with you
3:18.52  You'll be my
3:20.15  American boy, American boy
3:23.82  (You'll) (be) my
3:36.34  American boy,
3:38.42  American boy
