0:30.38  I must be tough,
0:33.16  I must behave,
0:34.74  I must keep fighting
0:38.18  Don't give it up,
0:41.03  I want to keep us compromising
0:45.48  Open your arms and
0:47.45  pray to the truth that
0:50.34  you're denying
0:52.74  Give in to the game,
0:56.35  to the sense that you've been hiding
0:59.26  Is it desire,
1:01.40  (or) is it love that
1:05.40  I'm feeling for you?
1:07.73  I want desire,
1:09.88  cause your love only gets me abused
1:30.16  Is it desire?
1:33.92  Or is it love that I'm
1:36.30  feeling for you?
1:38.32  I want desire
1:41.70  (Cause) your love only gets me abused
1:46.50  Give me that rush I want to
1:50.52  show you what you've been missing
1:54.34  Am I
1:55.51  enough to keep your other lovers hidden?
2:01.10  You know that you've got me,
2:03.59  you've locked me down
2:04.73  You tell me you want me,
2:07.30  you need it now
2:08.76  You know that you've got me,
2:11.14  you've locked me down
2:12.44  You tell me you want me now
2:15.58  Is it desire,
2:17.57  or is it
2:20.99  love that I'm feeling for you?
2:23.48  I want desire,
2:26.20  cause your love only gets me abused
2:31.00  Is it desire,
2:32.81  (or) is it
2:36.21  love that I'm feeling for you?
2:38.51  I want desire,
2:40.94  (I) want to see what you're willing
2:45.25  to lose
2:46.37  Is it desire,
2:48.46  (or) is it
2:51.54  love that I'm feeling for you?
2:54.53  I want desire,
2:56.19  (cause) your love only gets me abused
3:01.42  Is it desire,
3:03.80  or is it love that I'm feeling
3:08.21  for you?
3:09.69  I want desire,
3:11.28  (I) want to see what you're willing
3:15.75  to lose
